Time,Bandwidth Usage (MB/s)
Thu Feb  9 09:46:16 2023,0.038389380301849435
Thu Feb  9 09:46:17 2023,0.0380164976989029
Thu Feb  9 09:46:18 2023,0.037977722090427504
Thu Feb  9 09:46:19 2023,0.03761569907968608
Thu Feb  9 09:46:20 2023,0.03858990322075442
Thu Feb  9 09:46:21 2023,0.038256708327280356
Thu Feb  9 09:46:22 2023,0.03891013464868486
Thu Feb  9 09:46:23 2023,0.038570655507538236
Thu Feb  9 09:46:24 2023,0.038220723816372176
Thu Feb  9 09:46:25 2023,0.0382969511915097
Thu Feb  9 09:46:26 2023,0.03796352612704737
Thu Feb  9 09:46:27 2023,0.037627374884469315
Thu Feb  9 09:46:28 2023,0.037305958826368064
Thu Feb  9 09:46:29 2023,0.03698123880045099
Thu Feb  9 09:46:30 2023,0.03666208890725756
Thu Feb  9 09:46:31 2023,0.0363483887198843
Thu Feb  9 09:46:32 2023,0.03604834453480547
Thu Feb  9 09:46:33 2023,0.03574520005652259
Thu Feb  9 09:46:34 2023,0.03544700175592854
Thu Feb  9 09:46:35 2023,0.035209996917959764
Thu Feb  9 09:46:36 2023,0.03492108892344883
Thu Feb  9 09:46:37 2023,0.034652679035980176
Thu Feb  9 09:46:38 2023,0.03437293236885182
Thu Feb  9 09:46:39 2023,0.03409876855087042
Thu Feb  9 09:46:40 2023,0.03382786880918131
Thu Feb  9 09:46:41 2023,0.03356224387454622
Thu Feb  9 09:46:42 2023,0.03330743423725264
Thu Feb  9 09:46:43 2023,0.03304975987802507
Thu Feb  9 09:46:44 2023,0.0327952963317502
Thu Feb  9 09:46:45 2023,0.03258920740339024
Thu Feb  9 09:46:46 2023,0.03234260537565342
Thu Feb  9 09:46:47 2023,0.032099194138744826
Thu Feb  9 09:46:48 2023,0.03193917775702044
Thu Feb  9 09:46:49 2023,0.03170955250040606
Thu Feb  9 09:46:50 2023,0.03148335468183952
Thu Feb  9 09:46:51 2023,0.0312674934737919
Thu Feb  9 09:46:52 2023,0.03105485104395636
Thu Feb  9 09:46:53 2023,0.030845742122438485
Thu Feb  9 09:46:54 2023,0.030632170061365874
Thu Feb  9 09:46:55 2023,0.030456610436893208
Thu Feb  9 09:46:56 2023,0.03024283221708059
Thu Feb  9 09:46:57 2023,0.03003183348226726
Thu Feb  9 09:46:58 2023,0.029829848912722792
Thu Feb  9 09:46:59 2023,0.02962456928545565
Thu Feb  9 09:47:00 2023,0.029421437575293086
Thu Feb  9 09:47:01 2023,0.029221139042173012
Thu Feb  9 09:47:02 2023,0.02902357521348535
Thu Feb  9 09:47:03 2023,0.02884165199752157
Thu Feb  9 09:47:04 2023,0.02882413106860398
Thu Feb  9 09:47:05 2023,0.028678922922082357
Thu Feb  9 09:47:06 2023,0.028490046883404428
Thu Feb  9 09:47:07 2023,0.028309993895986943
Thu Feb  9 09:47:08 2023,0.028126904460039296
Thu Feb  9 09:47:09 2023,0.02794602066411162
Thu Feb  9 09:47:10 2023,0.02776712154796351
Thu Feb  9 09:47:11 2023,0.027602461594737664
Thu Feb  9 09:47:12 2023,0.027427572664075115
